          run_id           |      idea_request_id      | stage_id | status | attempt |      manifest_created_at      |          started_at           |         completed_at          |           output_artifact_ids            
---------------------------+---------------------------+----------+--------+---------+-------------------------------+-------------------------------+-------------------------------+------------------------------------------
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S00      | passed |       1 | 2026-08-28 07:44:31.433287+00 | 2026-08-28 07:44:31.08164+00  | 2026-08-28 07:44:31.433266+00 | {idea_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S10      | passed |       1 | 2026-08-28 07:44:36.975491+00 | 2026-08-28 07:44:31.70412+00  | 2026-08-28 07:44:36.975426+00 | {script_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S20      | passed |       1 | 2026-08-28 07:44:51.437604+00 | 2026-08-28 07:44:39.73303+00  | 2026-08-28 07:44:51.437585+00 | {voice_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S30      | passed |       1 | 2026-08-28 07:45:03.059079+00 | 2026-08-28 07:44:52.512893+00 | 2026-08-28 07:45:03.059059+00 | {avatar_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S40      | passed |       1 | 2026-08-28 07:45:06.058368+00 | 2026-08-28 07:45:05.046623+00 | 2026-08-28 07:45:06.058347+00 | {sync_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S50      | passed |       1 | 2026-08-28 07:45:11.223518+00 | 2026-08-28 07:45:06.241807+00 | 2026-08-28 07:45:11.223482+00 | {captions_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S60      | passed |       1 | 2026-08-28 07:45:16.741605+00 | 2026-08-28 07:45:11.406426+00 | 2026-08-28 07:45:16.741588+00 | {master_video_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S70      | passed |       1 | 2026-08-28 07:45:19.261989+00 | 2026-08-28 07:45:18.623498+00 | 2026-08-28 07:45:19.261971+00 | {qc_report_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | G80      | passed |       1 | 2026-08-28 07:45:19.570984+00 | 2026-08-28 07:45:19.349028+00 | 2026-08-28 07:45:19.475521+00 | {}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | G90      | passed |       1 | 2026-08-28 07:45:19.860222+00 | 2026-08-28 07:45:19.726667+00 | 2026-08-28 07:45:19.860187+00 | {disclosure_m4-dryrun-20260828-124412}
 m4-dryrun-20260828-124412 | m4-dryrun-20260828-124412 | S100     | passed |       1 | 2026-08-28 07:45:20.278647+00 | 2026-08-28 07:45:20.092816+00 | 2026-08-28 07:45:20.278611+00 | {}
(11 rows)

