          run_id           | stage_id | attempt |                            input_hash                            |                           output_hash                            |   provider_name    | provider_model | provider_version | provider_capability | provider_endpoint | provider_cost | provider_latency_ms |          started_at           |           ended_at            
---------------------------+----------+---------+------------------------------------------------------------------+------------------------------------------------------------------+--------------------+----------------+------------------+---------------------+-------------------+---------------+---------------------+-------------------------------+-------------------------------
 m4-dryrun-20260828-124412 | G90      |       1 | 1cf672b0ef9a69594560c2adae76a4377a234d064c50d80ac219415a54818da2 | fe6c3cf18799efbdb6bc1dcc79e56ffe59d401b3eb53d7c9e41c9a1551e52ea6 | disclosure_check   | stub           | 0.1.0            | disclosure_check    |                   |               |                     | 2026-08-28 07:45:19.726667+00 | 2026-08-28 07:45:19.860187+00
 m4-dryrun-20260828-124412 | S00      |       1 | 117bd75e8b965cba97629fb89d3777a1df9ffa8895ed8e8d7439dcf4883f6f26 | de1609e83d928f2443e1170cf031394671b6725dae8520c3a1d5adc584e41227 | intake             | stub           | 0.1.0            | intake              |                   |               |                     | 2026-08-28 07:44:31.08164+00  | 2026-08-28 07:44:31.433266+00
 m4-dryrun-20260828-124412 | S10      |       1 | 85626440e78c30bc9a952c4850bdd98fd7cf89dea5a83c515df4ad8910ad9958 | c25377bdb09902865ac0d1756370dfc861090412ebc1b8c685d9f9ac97707ec7 | script_generation  | stub           | 0.1.0            | script_generation   |                   |               |                     | 2026-08-28 07:44:31.70412+00  | 2026-08-28 07:44:36.975426+00
 m4-dryrun-20260828-124412 | S100     |       1 | d452d17b3f0f2e854b598730d4516e21b41b306a3d07e5ff0c8225a3279235ae |                                                                  | publish            | stub           | 0.1.0            | publish             |                   |               |                     | 2026-08-28 07:45:20.092816+00 | 2026-08-28 07:45:20.278611+00
 m4-dryrun-20260828-124412 | S20      |       1 | 5b9b7a7e933788a59ca61ed80460af6350b4396aabe11253ea86457924cde32e | e0c472a5d94076faf8e11ebdd7693422e8d76360b1e826de04abf0504bd96007 | voice_synthesis    | stub           | 0.1.0            | voice_synthesis     |                   |               |                     | 2026-08-28 07:44:39.73303+00  | 2026-08-28 07:44:51.437585+00
 m4-dryrun-20260828-124412 | S30      |       1 | efbc969b7d8baff5a6cc7df915ddf62b2eae959c817bac03a691a83bc86de37d | 3d42686ab283c54439a975412d58f5d8dcf44269d08c53a9aef3f84db4636d69 | avatar_render      | stub           | 0.1.0            | avatar_render       |                   |               |                     | 2026-08-28 07:44:52.512893+00 | 2026-08-28 07:45:03.059059+00
 m4-dryrun-20260828-124412 | S40      |       1 | 14ad3eeaf89656c8edbe4b9b8f8ec2ebe0a4aae46520301cd4c9e6710b794c4d | d6ffb2ff1037a5a612cabeecce9cc281c83b920292691fb375b6777eb0ba4a10 | media_sync         | stub           | 0.1.0            | media_sync          |                   |               |                     | 2026-08-28 07:45:05.046623+00 | 2026-08-28 07:45:06.058347+00
 m4-dryrun-20260828-124412 | S50      |       1 | 18af15e83a6a8f7c83cf693fa7d96131adfbae2d0d904b379c607b8ae477586f | 036bab4d72a42876249a3d0ad87b96a62aca70cb014738579038367e7628267e | caption_generation | stub           | 0.1.0            | caption_generation  |                   |               |                     | 2026-08-28 07:45:06.241807+00 | 2026-08-28 07:45:11.223482+00
 m4-dryrun-20260828-124412 | S60      |       1 | b1f9d5b4743b492390b13c840ac883a21e3b5b6d449cd531c7ea9d53f353d821 | c39af1d92fa9b66c8cc93a6f5732edf3b3adce6ee41273950405699189933e59 | assembly           | stub           | 0.1.0            | assembly            |                   |               |                     | 2026-08-28 07:45:11.406426+00 | 2026-08-28 07:45:16.741588+00
 m4-dryrun-20260828-124412 | S70      |       1 | cc55d7577c9dbfb22062b23a594c41f08e1726b0c4b0aed5d4a4dd697b408481 | a3ed5a777f1917638be2e36b1f101cefbfdcf5d15f385b4189bac62397bfc3ef | quality_control    | stub           | 0.1.0            | quality_control     |                   |               |                     | 2026-08-28 07:45:18.623498+00 | 2026-08-28 07:45:19.261971+00
(10 rows)

